894 0 0 350 0.492882 0.501948 0.754401 1.74923
894 0.005 0 350 0.492888 0.501969 0.754382 1.74924
894 0.01 0 350 0.492905 0.50203 0.754322 1.74926
894 0.015 0 350 0.492934 0.502134 0.754222 1.74929
894 0.02 0 350 0.492975 0.502278 0.754083 1.74934
894 0.025 0 350 0.493027 0.502464 0.753904 1.74939
894 0.03 0 350 0.493091 0.502691 0.753685 1.74947
894 0.035 0 350 0.493167 0.502959 0.753427 1.74955
894 0.04 0 350 0.493255 0.503269 0.75313 1.74965
894 0.045 0 350 0.493354 0.50362 0.752794 1.74977
894 0.05 0 350 0.493465 0.504012 0.752419 1.7499
894 0.055 0 350 0.493588 0.504446 0.752005 1.75004
894 0.06 0 350 0.493723 0.504922 0.751553 1.7502
894 0.065 0 350 0.49387 0.505439 0.751063 1.75037
894 0.07 0 350 0.494029 0.505998 0.750535 1.75056
894 0.075 0 350 0.494199 0.506595 0.74997 1.75076
894 0.08 0 350 0.494382 0.507238 0.749367 1.75099
894 0.085 0 350 0.494577 0.507922 0.748728 1.75123
894 0.09 0 350 0.494785 0.508647 0.748053 1.75149
894 0.095 0 350 0.495005 0.509415 0.747342 1.75176
894 0.1 0 350 0.495238 0.510224 0.746595 1.75206
894 0.105 0 350 0.495483 0.511076 0.745814 1.75237
894 0.11 0 350 0.495741 0.51197 0.744998 1.75271
894 0.115 0 350 0.496012 0.512905 0.744147 1.75306
894 0.12 0 350 0.496296 0.513883 0.743264 1.75344
894 0.125 0 350 0.496593 0.514903 0.742347 1.75384
894 0.13 0 350 0.496903 0.515962 0.741398 1.75426
894 0.135 0 350 0.497226 0.517066 0.740417 1.75471
894 0.14 0 350 0.497563 0.518213 0.739405 1.75518
894 0.145 0 350 0.497914 0.519402 0.738363 1.75568
894 0.15 0 350 0.498279 0.520633 0.73729 1.7562
894 0.155 0 350 0.498658 0.521906 0.736188 1.75675
894 0.16 0 350 0.499051 0.523222 0.735057 1.75733
894 0.165 0 350 0.499459 0.524579 0.733898 1.75794
894 0.17 0 350 0.499881 0.525977 0.732711 1.75857
894 0.175 0 350 0.500319 0.527419 0.731498 1.75924
894 0.18 0 350 0.500771 0.528903 0.730259 1.75993
894 0.185 0 350 0.501239 0.530429 0.728994 1.76066
894 0.19 0 350 0.501723 0.531997 0.727704 1.76142
894 0.195 0 350 0.502223 0.533607 0.726391 1.76222
894 0.2 0 350 0.502739 0.535255 0.725053 1.76305
894 0.205 0 350 0.503272 0.536947 0.723693 1.76391
894 0.21 0 350 0.503822 0.538686 0.722312 1.76482
894 0.215 0 350 0.504389 0.540461 0.720909 1.76576
894 0.22 0 350 0.504975 0.542277 0.719485 1.76674
894 0.225 0 350 0.505577 0.544129 0.71804 1.76775
894 0.23 0 350 0.506199 0.546025 0.716577 1.7688
894 0.235 0 350 0.506839 0.547961 0.715095 1.7699
894 0.24 0 350 0.507499 0.549937 0.713594 1.77103
894 0.245 0 350 0.508179 0.551951 0.712077 1.77221
894 0.25 0 350 0.508878 0.554001 0.710541 1.77342
894 0.255 0 350 0.509599 0.556092 0.70899 1.77468
894 0.26 0 350 0.510341 0.558221 0.707424 1.77599
894 0.265 0 350 0.511105 0.560387 0.705842 1.77733
894 0.27 0 350 0.511891 0.562585 0.704245 1.77872
894 0.275 0 350 0.5127 0.564824 0.702634 1.78016
894 0.28 0 350 0.513533 0.567097 0.70101 1.78164
894 0.285 0 350 0.51439 0.569405 0.699372 1.78317
894 0.29 0 350 0.515272 0.571742 0.697721 1.78473
894 0.295 0 350 0.516179 0.574116 0.696058 1.78635
894 0.3 0 350 0.517113 0.576522 0.694383 1.78802
894 0.305 0 350 0.518074 0.578954 0.692695 1.78972
894 0.31 0 350 0.519063 0.581421 0.690996 1.79148
894 0.315 0 350 0.520081 0.583916 0.689286 1.79328
894 0.32 0 350 0.52113 0.586477 0.68757 1.79518
894 0.325 0 350 0.522209 0.589056 0.685841 1.79711
894 0.33 0 350 0.52332 0.591649 0.684099 1.79907
894 0.335 0 350 0.524462 0.594262 0.682345 1.80107
894 0.34 0 350 0.525638 0.596897 0.680579 1.80311
894 0.345 0 350 0.526848 0.599553 0.678802 1.8052
894 0.35 0 350 0.528094 0.602224 0.677012 1.80733
894 0.355 0 350 0.529376 0.604919 0.67521 1.80951
894 0.36 0 350 0.530696 0.60763 0.673396 1.81172
894 0.365 0 350 0.532054 0.610352 0.671569 1.81397
894 0.37 0 350 0.533452 0.613086 0.669728 1.81627
894 0.375 0 350 0.534892 0.615838 0.667874 1.8186
894 0.38 0 350 0.536374 0.618593 0.666005 1.82097
894 0.385 0 350 0.537899 0.621356 0.664121 1.82338
894 0.39 0 350 0.53947 0.624134 0.662221 1.82583
894 0.395 0 350 0.541087 0.626906 0.660305 1.8283
894 0.4 0 350 0.542753 0.62968 0.658369 1.8308
894 0.405 0 350 0.544467 0.632454 0.656416 1.83334
894 0.41 0 350 0.546233 0.63523 0.654443 1.83591
894 0.415 0 350 0.548051 0.637989 0.652448 1.83849
894 0.42 0 350 0.549923 0.640753 0.650431 1.84111
894 0.425 0 350 0.551851 0.643494 0.64839 1.84373
894 0.43 0 350 0.553836 0.646235 0.646325 1.8464
894 0.435 0 350 0.55588 0.648948 0.644232 1.84906
894 0.44 0 350 0.557985 0.65165 0.642112 1.85175
894 0.445 0 350 0.560154 0.654331 0.639962 1.85445
894 0.45 0 350 0.562386 0.656989 0.637781 1.85716
894 0.455 0 350 0.564684 0.659615 0.635565 1.85987
894 0.46 0 350 0.567052 0.662226 0.633315 1.86259
